Soil_color,Nitrogen,Phosphorus,Potassium,Rainfall,Temperature,Crop,Fertilizer
Black,45,20,25,800,25,Jowar,10:26:26 NPK
Black,50,20,25,800,25,Jowar,10:26:26 NPK
Black,40,25,20,600,30,Jowar,10:26:26 NPK
Black,45,25,20,600,30,Jowar,10:26:26 NPK
Black,50,25,20,600,30,Jowar,10:26:26 NPK
Red ,100,40,50,800,25,Cotton,DAP
Red ,105,40,50,800,25,Cotton,DAP
Red ,110,40,50,800,25,Cotton,DAP
Red ,115,40,50,800,25,Cotton,DAP
Red ,120,40,50,800,25,Cotton,DAP
Red ,125,40,50,800,25,Cotton,DAP
Red ,130,40,50,800,25,Cotton,DAP
Red ,135,40,50,800,25,Cotton,DAP
Red ,140,40,50,800,25,Cotton,DAP
Red ,145,40,50,800,25,Cotton,DAP
Red ,150,40,50,800,25,Cotton,DAP
Red ,100,45,55,900,30,Cotton,DAP
Red ,105,45,55,900,30,Cotton,DAP
Red ,110,45,55,900,30,Cotton,DAP
Red ,115,45,55,900,30,Cotton,DAP
Red ,120,45,55,900,30,Cotton,DAP
Red ,125,45,55,900,30,Cotton,DAP
Red ,130,45,55,900,30,Cotton,DAP
Red ,135,45,55,900,30,Cotton,DAP
Red ,140,45,55,900,30,Cotton,DAP
Red ,145,45,55,900,30,Cotton,DAP
Red ,150,45,55,900,30,Cotton,DAP
Red ,100,50,60,1000,35,Cotton,DAP
Red ,105,50,60,1000,35,Cotton,DAP
Red ,110,50,60,1000,35,Cotton,DAP
Red ,115,50,60,1000,35,Cotton,DAP
Red ,120,50,60,1000,35,Cotton,DAP
Red ,125,50,60,1000,35,Cotton,DAP
Red ,130,50,60,1000,35,Cotton,DAP
Red ,135,50,60,1000,35,Cotton,DAP
Red ,140,50,60,1000,35,Cotton,DAP
Red ,145,50,60,1000,35,Cotton,DAP
Red ,150,50,60,1000,35,Cotton,DAP
Red ,100,55,65,800,25,Cotton,DAP
Red ,105,55,65,800,25,Cotton,DAP
Red ,110,55,65,800,25,Cotton,DAP
Red ,115,55,65,800,25,Cotton,DAP
Red ,120,55,65,800,25,Cotton,DAP
Red ,125,55,65,800,25,Cotton,DAP
Red ,130,55,65,800,25,Cotton,DAP
Red ,135,55,65,800,25,Cotton,DAP
Red ,140,55,65,800,25,Cotton,DAP
Red ,145,55,65,800,25,Cotton,DAP
Red ,150,55,65,800,25,Cotton,DAP
Red ,100,60,70,900,30,Cotton,DAP
Red ,105,60,70,900,30,Cotton,DAP
Red ,110,60,70,900,30,Cotton,DAP
Red ,115,60,70,900,30,Cotton,DAP
Red ,120,60,70,900,30,Cotton,DAP
Red ,125,60,70,900,30,Cotton,DAP
Red ,130,60,70,900,30,Cotton,DAP
Red ,135,60,70,900,30,Cotton,DAP
Red ,140,60,70,900,30,Cotton,DAP
Red ,145,60,70,900,30,Cotton,DAP
Red ,150,60,70,900,30,Cotton,DAP
Red ,100,40,75,1000,35,Cotton,DAP
Red ,105,40,75,1000,35,Cotton,DAP
Red ,110,40,75,1000,35,Cotton,DAP
Red ,115,40,75,1000,35,Cotton,DAP
Red ,120,40,75,1000,35,Cotton,DAP
Red ,125,40,75,1000,35,Cotton,DAP
Red ,130,40,75,1000,35,Cotton,DAP
Red ,135,40,75,1000,35,Cotton,DAP
Red ,140,40,75,1000,35,Cotton,DAP
Red ,145,40,75,1000,35,Cotton,DAP
Red ,150,40,75,1000,35,Cotton,DAP
Red ,100,45,50,800,25,Cotton,Magnesium Sulphate
Red ,105,45,50,800,25,Cotton,Magnesium Sulphate
Red ,110,45,50,800,25,Cotton,Magnesium Sulphate
Red ,115,45,50,800,25,Cotton,Magnesium Sulphate
Red ,120,45,50,800,25,Cotton,Magnesium Sulphate
Red ,125,45,50,800,25,Cotton,Magnesium Sulphate
Red ,130,45,50,800,25,Cotton,Magnesium Sulphate
Red ,135,45,50,800,25,Cotton,Magnesium Sulphate
Red ,140,45,50,800,25,Cotton,Magnesium Sulphate
Red ,145,45,50,800,25,Cotton,Magnesium Sulphate
Red ,150,45,50,800,25,Cotton,Magnesium Sulphate
Red ,100,50,55,900,30,Cotton,Magnesium Sulphate
Red ,105,50,55,900,30,Cotton,Magnesium Sulphate
Red ,110,50,55,900,30,Cotton,Magnesium Sulphate
Red ,115,50,55,900,30,Cotton,Magnesium Sulphate
Red ,120,50,55,900,30,Cotton,Magnesium Sulphate
Red ,125,50,55,900,30,Cotton,Magnesium Sulphate
Red ,130,50,55,900,30,Cotton,Magnesium Sulphate
Red ,135,50,55,900,30,Cotton,Magnesium Sulphate
Red ,140,50,55,900,30,Cotton,Magnesium Sulphate
Red ,145,50,55,900,30,Cotton,Magnesium Sulphate
Red ,150,50,55,900,30,Cotton,Magnesium Sulphate
Red ,100,55,60,1000,35,Cotton,Magnesium Sulphate
Red ,105,55,60,1000,35,Cotton,Magnesium Sulphate
Red ,110,55,60,1000,35,Cotton,Magnesium Sulphate
Red ,115,55,60,1000,35,Cotton,Magnesium Sulphate
Red ,120,55,60,1000,35,Cotton,Magnesium Sulphate
Red ,125,55,60,1000,35,Cotton,Magnesium Sulphate
Red ,130,55,60,1000,35,Cotton,Magnesium Sulphate
Red ,135,55,60,1000,35,Cotton,Magnesium Sulphate
Red ,140,55,60,1000,35,Cotton,Magnesium Sulphate
Red ,145,55,60,1000,35,Cotton,Magnesium Sulphate
Red ,150,55,60,1000,35,Cotton,Magnesium Sulphate
Red ,100,60,65,800,25,Cotton,Magnesium Sulphate
Red ,105,60,65,800,25,Cotton,Magnesium Sulphate
Red ,110,60,65,800,25,Cotton,Magnesium Sulphate
Red ,115,60,65,800,25,Cotton,Magnesium Sulphate
Red ,120,60,65,800,25,Cotton,Magnesium Sulphate
Red ,125,60,65,800,25,Cotton,Magnesium Sulphate
Red ,130,60,65,800,25,Cotton,Magnesium Sulphate
Red ,135,60,65,800,25,Cotton,Magnesium Sulphate
Red ,140,60,65,800,25,Cotton,Magnesium Sulphate
Red ,145,60,65,800,25,Cotton,Magnesium Sulphate
Red ,150,60,65,800,25,Cotton,Magnesium Sulphate
Red ,100,40,70,900,30,Cotton,Magnesium Sulphate
Red ,105,40,70,900,30,Cotton,Magnesium Sulphate
Red ,110,40,70,900,30,Cotton,Magnesium Sulphate
Red ,115,40,70,900,30,Cotton,Magnesium Sulphate
Red ,120,40,70,900,30,Cotton,Magnesium Sulphate
Red ,125,40,70,900,30,Cotton,Magnesium Sulphate
Red ,130,40,70,900,30,Cotton,Magnesium Sulphate
Red ,135,40,70,900,30,Cotton,Magnesium Sulphate
Red ,140,40,70,900,30,Cotton,Magnesium Sulphate
Red ,145,40,70,900,30,Cotton,Magnesium Sulphate
Red ,150,40,70,900,30,Cotton,Magnesium Sulphate
Red ,100,45,75,1000,35,Cotton,Magnesium Sulphate
Red ,105,45,75,1000,35,Cotton,Magnesium Sulphate
Red ,110,45,75,1000,35,Cotton,Magnesium Sulphate
Red ,115,45,75,1000,35,Cotton,Magnesium Sulphate
Red ,120,45,75,1000,35,Cotton,Magnesium Sulphate
Red ,125,45,75,1000,35,Cotton,Magnesium Sulphate
Red ,130,45,75,1000,35,Cotton,Magnesium Sulphate
Red ,135,45,75,1000,35,Cotton,Magnesium Sulphate
Red ,140,45,75,1000,35,Cotton,Magnesium Sulphate
Red ,145,45,75,1000,35,Cotton,Magnesium Sulphate
Red ,150,45,75,1000,35,Cotton,Magnesium Sulphate
Red ,100,50,50,800,25,Cotton,13:32:26 NPK
Red ,105,50,50,800,25,Cotton,13:32:26 NPK
Red ,110,50,50,800,25,Cotton,13:32:26 NPK
Red ,115,50,50,800,25,Cotton,13:32:26 NPK
Red ,120,50,50,800,25,Cotton,13:32:26 NPK
Red ,125,50,50,800,25,Cotton,13:32:26 NPK
Red ,130,50,50,800,25,Cotton,13:32:26 NPK
Red ,135,50,50,800,25,Cotton,13:32:26 NPK
Red ,140,50,50,800,25,Cotton,13:32:26 NPK
Red ,145,50,50,800,25,Cotton,13:32:26 NPK
Red ,150,50,50,800,25,Cotton,13:32:26 NPK
Red ,100,55,55,900,30,Cotton,13:32:26 NPK
Red ,105,55,55,900,30,Cotton,13:32:26 NPK
Red ,110,55,55,900,30,Cotton,13:32:26 NPK
Red ,115,55,55,900,30,Cotton,13:32:26 NPK
Red ,120,55,55,900,30,Cotton,13:32:26 NPK
Red ,125,55,55,900,30,Cotton,13:32:26 NPK
Red ,130,55,55,900,30,Cotton,13:32:26 NPK
Red ,135,55,55,900,30,Cotton,13:32:26 NPK
Red ,140,55,55,900,30,Cotton,13:32:26 NPK
Red ,145,55,55,900,30,Cotton,13:32:26 NPK
Red ,150,55,55,900,30,Cotton,13:32:26 NPK
Red ,100,60,60,1000,35,Cotton,13:32:26 NPK
Red ,105,60,60,1000,35,Cotton,13:32:26 NPK
Red ,110,60,60,1000,35,Cotton,13:32:26 NPK
Red ,115,60,60,1000,35,Cotton,13:32:26 NPK
Red ,120,60,60,1000,35,Cotton,13:32:26 NPK
Red ,125,60,60,1000,35,Cotton,13:32:26 NPK
Red ,130,60,60,1000,35,Cotton,13:32:26 NPK
Red ,135,60,60,1000,35,Cotton,13:32:26 NPK
Red ,140,60,60,1000,35,Cotton,13:32:26 NPK
Red ,145,60,60,1000,35,Cotton,13:32:26 NPK
Red ,150,60,60,1000,35,Cotton,13:32:26 NPK
Red ,100,40,65,800,25,Cotton,13:32:26 NPK
Red ,105,40,65,800,25,Cotton,13:32:26 NPK
Red ,110,40,65,800,25,Cotton,13:32:26 NPK
Red ,115,40,65,800,25,Cotton,13:32:26 NPK
Red ,120,40,65,800,25,Cotton,13:32:26 NPK
Red ,125,40,65,800,25,Cotton,13:32:26 NPK
Red ,130,40,65,800,25,Cotton,13:32:26 NPK
Red ,135,40,65,800,25,Cotton,13:32:26 NPK
Red ,140,40,65,800,25,Cotton,13:32:26 NPK
Red ,145,40,65,800,25,Cotton,13:32:26 NPK
Red ,150,40,65,800,25,Cotton,13:32:26 NPK
Red ,100,45,70,900,30,Cotton,13:32:26 NPK
Red ,105,45,70,900,30,Cotton,13:32:26 NPK
Red ,110,45,70,900,30,Cotton,13:32:26 NPK
Red ,115,45,70,900,30,Cotton,13:32:26 NPK
Red ,120,45,70,900,30,Cotton,13:32:26 NPK
Red ,125,45,70,900,30,Cotton,13:32:26 NPK
Red ,130,45,70,900,30,Cotton,13:32:26 NPK
Red ,135,45,70,900,30,Cotton,13:32:26 NPK
Red ,140,45,70,900,30,Cotton,13:32:26 NPK
Red ,145,45,70,900,30,Cotton,13:32:26 NPK
Red ,150,45,70,900,30,Cotton,13:32:26 NPK
Red ,100,50,75,1000,35,Cotton,13:32:26 NPK
Red ,105,50,75,1000,35,Cotton,13:32:26 NPK
Red ,110,50,75,1000,35,Cotton,13:32:26 NPK
Red ,115,50,75,1000,35,Cotton,13:32:26 NPK
Red ,120,50,75,1000,35,Cotton,13:32:26 NPK
Red ,125,50,75,1000,35,Cotton,13:32:26 NPK
Red ,130,50,75,1000,35,Cotton,13:32:26 NPK
Red ,135,50,75,1000,35,Cotton,13:32:26 NPK
Red ,140,50,75,1000,35,Cotton,13:32:26 NPK
Red ,145,50,75,1000,35,Cotton,13:32:26 NPK
Red ,150,50,75,1000,35,Cotton,13:32:26 NPK
Red ,100,55,50,800,25,Cotton,DAP
Red ,105,55,50,800,25,Cotton,DAP
Red ,110,55,50,800,25,Cotton,DAP
Red ,115,55,50,800,25,Cotton,DAP
Red ,120,55,50,800,25,Cotton,DAP
Red ,125,55,50,800,25,Cotton,DAP
Red ,130,55,50,800,25,Cotton,DAP
Red ,135,55,50,800,25,Cotton,DAP
Red ,140,55,50,800,25,Cotton,DAP
Red ,145,55,50,800,25,Cotton,DAP
Red ,150,55,50,800,25,Cotton,DAP
Red ,100,60,55,900,30,Cotton,DAP
Red ,105,60,55,900,30,Cotton,DAP
Red ,110,60,55,900,30,Cotton,DAP
Red ,115,60,55,900,30,Cotton,DAP
Red ,120,60,55,900,30,Cotton,DAP
Red ,125,60,55,900,30,Cotton,DAP
Red ,130,60,55,900,30,Cotton,DAP
Red ,135,60,55,900,30,Cotton,DAP
Red ,140,60,55,900,30,Cotton,DAP
Red ,145,60,55,900,30,Cotton,DAP
Red ,150,60,55,900,30,Cotton,DAP
Red ,100,40,60,1000,35,Cotton,DAP
Red ,105,40,60,1000,35,Cotton,DAP
Red ,110,40,60,1000,35,Cotton,DAP
Red ,115,40,60,1000,35,Cotton,DAP
Red ,120,40,60,1000,35,Cotton,DAP
Red ,125,40,60,1000,35,Cotton,DAP
Red ,130,40,60,1000,35,Cotton,DAP
Red ,135,40,60,1000,35,Cotton,DAP
Red ,140,40,60,1000,35,Cotton,DAP
Red ,145,40,60,1000,35,Cotton,DAP
Red ,150,40,60,1000,35,Cotton,DAP
Red ,100,45,65,800,25,Cotton,DAP
Red ,105,45,65,800,25,Cotton,DAP
Red ,110,45,65,800,25,Cotton,DAP
Red ,115,45,65,800,25,Cotton,DAP
Red ,120,45,65,800,25,Cotton,DAP
Red ,125,45,65,800,25,Cotton,DAP
Red ,130,45,65,800,25,Cotton,DAP
Red ,135,45,65,800,25,Cotton,DAP
Red ,140,45,65,800,25,Cotton,DAP
Red ,145,45,65,800,25,Cotton,DAP
Red ,150,45,65,800,25,Cotton,DAP
Red ,100,50,70,900,30,Cotton,DAP
Red ,105,50,70,900,30,Cotton,DAP
Red ,110,50,70,900,30,Cotton,DAP
Red ,115,50,70,900,30,Cotton,DAP
Red ,120,50,70,900,30,Cotton,DAP
Red ,125,50,70,900,30,Cotton,DAP
Red ,130,50,70,900,30,Cotton,DAP
Red ,135,50,70,900,30,Cotton,DAP
Red ,140,50,70,900,30,Cotton,DAP
Red ,145,50,70,900,30,Cotton,DAP
Red ,150,50,70,900,30,Cotton,DAP
Red ,100,55,75,1000,35,Cotton,DAP
Red ,105,55,75,1000,35,Cotton,DAP
Red ,110,55,75,1000,35,Cotton,DAP
Red ,115,55,75,1000,35,Cotton,DAP
Red ,120,55,75,1000,35,Cotton,DAP
Red ,125,55,75,1000,35,Cotton,DAP
Red ,130,55,75,1000,35,Cotton,DAP
Red ,135,55,75,1000,35,Cotton,DAP
Red ,140,55,75,1000,35,Cotton,DAP
Red ,145,55,75,1000,35,Cotton,DAP
Red ,150,55,75,1000,35,Cotton,DAP
Red ,100,60,50,800,25,Cotton,Magnesium Sulphate
Red ,105,60,50,800,25,Cotton,Magnesium Sulphate
Red ,110,60,50,800,25,Cotton,Magnesium Sulphate
Red ,115,60,50,800,25,Cotton,Magnesium Sulphate
Red ,120,60,50,800,25,Cotton,Magnesium Sulphate
Red ,125,60,50,800,25,Cotton,Magnesium Sulphate
Red ,130,60,50,800,25,Cotton,Magnesium Sulphate
Red ,135,60,50,800,25,Cotton,Magnesium Sulphate
Red ,140,60,50,800,25,Cotton,Magnesium Sulphate
Red ,145,60,50,800,25,Cotton,Magnesium Sulphate
Red ,150,60,50,800,25,Cotton,Magnesium Sulphate
Red ,100,40,55,900,30,Cotton,Magnesium Sulphate
Red ,105,40,55,900,30,Cotton,Magnesium Sulphate
Red ,110,40,55,900,30,Cotton,Magnesium Sulphate
Red ,115,40,55,900,30,Cotton,Magnesium Sulphate
Red ,120,40,55,900,30,Cotton,Magnesium Sulphate
Red ,125,40,55,900,30,Cotton,Magnesium Sulphate
Red ,130,40,55,900,30,Cotton,Magnesium Sulphate
Red ,135,40,55,900,30,Cotton,Magnesium Sulphate
Red ,140,40,55,900,30,Cotton,Magnesium Sulphate
Red ,145,40,55,900,30,Cotton,Magnesium Sulphate
Red ,150,40,55,900,30,Cotton,Magnesium Sulphate
Red ,100,45,60,1000,35,Cotton,Magnesium Sulphate
Red ,105,45,60,1000,35,Cotton,Magnesium Sulphate
Red ,110,45,60,1000,35,Cotton,Magnesium Sulphate
Red ,115,45,60,1000,35,Cotton,Magnesium Sulphate
Red ,120,45,60,1000,35,Cotton,Magnesium Sulphate
Red ,125,45,60,1000,35,Cotton,Magnesium Sulphate
Red ,130,45,60,1000,35,Cotton,Magnesium Sulphate
Red ,135,45,60,1000,35,Cotton,Magnesium Sulphate
Red ,140,45,60,1000,35,Cotton,Magnesium Sulphate
Red ,145,45,60,1000,35,Cotton,Magnesium Sulphate
Red ,150,45,60,1000,35,Cotton,Magnesium Sulphate
Red ,100,50,65,800,25,Cotton,Magnesium Sulphate
Red ,105,50,65,800,25,Cotton,Magnesium Sulphate
Red ,110,50,65,800,25,Cotton,Magnesium Sulphate
Red ,115,50,65,800,25,Cotton,Magnesium Sulphate
Red ,120,50,65,800,25,Cotton,Magnesium Sulphate
Red ,125,50,65,800,25,Cotton,Magnesium Sulphate
Red ,130,50,65,800,25,Cotton,Magnesium Sulphate
Red ,135,50,65,800,25,Cotton,Magnesium Sulphate
Red ,140,50,65,800,25,Cotton,Magnesium Sulphate
Red ,145,50,65,800,25,Cotton,Magnesium Sulphate
Red ,150,50,65,800,25,Cotton,Magnesium Sulphate
Red ,100,55,70,900,30,Cotton,Magnesium Sulphate
Red ,105,55,70,900,30,Cotton,Magnesium Sulphate
Red ,110,55,70,900,30,Cotton,Magnesium Sulphate
Red ,115,55,70,900,30,Cotton,Magnesium Sulphate
Red ,120,55,70,900,30,Cotton,Magnesium Sulphate
Red ,125,55,70,900,30,Cotton,Magnesium Sulphate
Red ,130,55,70,900,30,Cotton,Magnesium Sulphate
Red ,135,55,70,900,30,Cotton,Magnesium Sulphate
Red ,140,55,70,900,30,Cotton,Magnesium Sulphate
Red ,145,55,70,900,30,Cotton,Magnesium Sulphate
Red ,150,55,70,900,30,Cotton,Magnesium Sulphate
Red ,100,60,75,1000,35,Cotton,Magnesium Sulphate
Red ,105,60,75,1000,35,Cotton,Magnesium Sulphate
Red ,110,60,75,1000,35,Cotton,Magnesium Sulphate
Red ,115,60,75,1000,35,Cotton,Magnesium Sulphate
Red ,120,60,75,1000,35,Cotton,Magnesium Sulphate
Red ,125,60,75,1000,35,Cotton,Magnesium Sulphate
Red ,130,60,75,1000,35,Cotton,Magnesium Sulphate
Red ,135,60,75,1000,35,Cotton,Magnesium Sulphate
Red ,140,60,75,1000,35,Cotton,Magnesium Sulphate
Red ,145,60,75,1000,35,Cotton,Magnesium Sulphate
Red ,150,60,75,1000,35,Cotton,Magnesium Sulphate
Red ,100,60,40,800,25,Cotton,12:32:16 NPK
Red ,105,60,40,800,25,Cotton,12:32:16 NPK
Red ,110,60,40,800,25,Cotton,12:32:16 NPK
Red ,115,60,40,800,25,Cotton,12:32:16 NPK
Red ,120,60,40,800,25,Cotton,12:32:16 NPK
Red ,100,65,45,900,30,Cotton,12:32:16 NPK
Red ,105,65,45,900,30,Cotton,12:32:16 NPK
Red ,110,65,45,900,30,Cotton,12:32:16 NPK
Red ,115,65,45,900,30,Cotton,12:32:16 NPK
Red ,120,65,45,900,30,Cotton,12:32:16 NPK
Red ,100,70,50,1000,35,Cotton,12:32:16 NPK
Red ,105,70,50,1000,35,Cotton,12:32:16 NPK
Red ,110,70,50,1000,35,Cotton,12:32:16 NPK
Red ,115,70,50,1000,35,Cotton,12:32:16 NPK
Red ,120,70,50,1000,35,Cotton,12:32:16 NPK
Red ,100,75,55,800,25,Cotton,12:32:16 NPK
Red ,105,75,55,800,25,Cotton,12:32:16 NPK
Red ,110,75,55,800,25,Cotton,12:32:16 NPK
Red ,115,75,55,800,25,Cotton,12:32:16 NPK
Red ,120,75,55,800,25,Cotton,12:32:16 NPK
Red ,100,80,60,900,30,Cotton,12:32:16 NPK
Red ,105,80,60,900,30,Cotton,12:32:16 NPK
Red ,110,80,60,900,30,Cotton,12:32:16 NPK
Red ,115,80,60,900,30,Cotton,12:32:16 NPK
Red ,120,80,60,900,30,Cotton,12:32:16 NPK
Red ,100,60,65,1000,35,Cotton,12:32:16 NPK
Red ,105,60,65,1000,35,Cotton,12:32:16 NPK
Red ,110,60,65,1000,35,Cotton,12:32:16 NPK
Red ,115,60,65,1000,35,Cotton,12:32:16 NPK
Red ,120,60,65,1000,35,Cotton,12:32:16 NPK
Red ,100,65,40,800,25,Cotton,12:32:16 NPK
Red ,105,65,40,800,25,Cotton,12:32:16 NPK
Red ,110,65,40,800,25,Cotton,12:32:16 NPK
Red ,115,65,40,800,25,Cotton,12:32:16 NPK
Red ,120,65,40,800,25,Cotton,12:32:16 NPK
Red ,100,70,45,900,30,Cotton,12:32:16 NPK
Red ,105,70,45,900,30,Cotton,12:32:16 NPK
Red ,110,70,45,900,30,Cotton,12:32:16 NPK
Red ,115,70,45,900,30,Cotton,12:32:16 NPK
Red ,120,70,45,900,30,Cotton,12:32:16 NPK
Red ,100,75,50,1000,35,Cotton,12:32:16 NPK
Red ,105,75,50,1000,35,Cotton,12:32:16 NPK
Red ,110,75,50,1000,35,Cotton,12:32:16 NPK
Red ,115,75,50,1000,35,Cotton,12:32:16 NPK
